truesight_event_id,object_class,object_name,host,candidate_ids,candidate_scores,reason
58892295,NSK,TANDEM.EMS.H01,eplp1,"eps.1656268269.5958342203774844.97c12693-dd86-462e-9162-220d0bf8f0f2,eps.1656268269.5958348514685132.86d57387-7b0a-453c-a73a-a6e03cf01e8c,eps.1656268269.5958461155826163.a5ba4c7b-1f1a-4aef-a3f6-947f7fe2306b","156,156,150",Multiple candidates have similarly strong scores.
58892296,NSK,TANDEM.EMS.H01,eplp1,"eps.1656268269.5958348514685132.86d57387-7b0a-453c-a73a-a6e03cf01e8c,eps.1656268269.5958342203774844.97c12693-dd86-462e-9162-220d0bf8f0f2,eps.1656268269.5958522559800656.8b3363a2-ae63-4549-a93b-c26d18b6d319","156,156,150",Multiple candidates have similarly strong scores.
58892152,NUK_Memory,NUK_Memory,smtforgat1,"b8b69394-6886-4a61-a273-90874a449c85,5667d8a7-51ae-41f8-a56a-055162425db0,619d15cb-fb48-4f48-9d44-fd1bd8223047","143,143,139",Multiple candidates have similarly strong scores.
58890490,TKS_OSCMD,monitoring.dcs.parselog,mpzhldcsch43,"eps.1656268269.5956963174383116.85145c28-66c9-4e85-b99a-232be71a30b5,eps.1656268269.541475510468908.08c4a861-c06b-4c2f-aa83-09dfded5f150,eps.1656268269.5960297761450895.fd2c7a30-6e8e-40de-9b24-f8f75771167d","180,180,169",Multiple candidates have similarly strong scores.
58890758,TKS_OSCMD,monitoring.dcs.parselog,mpzhldcsch43,"eps.1656268269.5956963174383116.85145c28-66c9-4e85-b99a-232be71a30b5,eps.1656268269.541475510468908.08c4a861-c06b-4c2f-aa83-09dfded5f150,eps.1656268269.5960297761450895.fd2c7a30-6e8e-40de-9b24-f8f75771167d","180,180,169",Multiple candidates have similarly strong scores.
